epoch,accuracy,loss,val_accuracy,val_loss
0,0.7055249810218811,0.6564931869506836,0.7574999928474426,0.5852035880088806
1,0.7877749800682068,0.5078032612800598,0.7925999760627747,0.4624611735343933
2,0.8130999803543091,0.42603600025177,0.8066999912261963,0.42445170879364014
3,0.8246250152587891,0.39536723494529724,0.8104000091552734,0.4114232063293457
4,0.831375002861023,0.38027065992355347,0.8119000196456909,0.4069433808326721
5,0.8348749876022339,0.37125328183174133,0.8137000203132629,0.4049530029296875
6,0.8377000093460083,0.3652310371398926,0.8156999945640564,0.4048134982585907
7,0.8396999835968018,0.36080777645111084,0.8138999938964844,0.4067128896713257
8,0.841575026512146,0.3578783869743347,0.8151999711990356,0.40685757994651794
9,0.8425250053405762,0.3552730977535248,0.8148999810218811,0.40850040316581726
